Animal_Number,year,month,age,Lactation_Number,Days_In_Milk,RT_mean,RT_variance,AT_mean,AT_variance,temperature_mean,temperature_variance,humidity_mean,humidity_variance,solarradiation_mean,solarradiation_variance,THI_mean,THI_variance,MY1,MY2
56795,2023,10,2.30684931506849,1,109,494.133333333333,16701.8380952381,444.266666666667,12768.4952380952,68.86,20.1354285714286,54.7466666666667,22.9812380952381,184.173333333333,287.654952380952,51.0166286666667,21.0196377967477,43.35885928,44.4805274971429
56803,2024,2,2.67397260273973,1,285,535.2,20029.6,428.533333333333,11895.1238095238,55.1533333333333,6.50552380952381,73.5533333333333,14.5169523809524,167.846666666667,2525.33980952381,39.8114624666667,5.08499187590426,45.56785232,42.0538102971429
56810,2023,11,2.37534246575342,1,163,472.333333333333,18876.6666666667,494.133333333333,16787.5523809524,57.4466666666667,15.828380952381,58.5266666666667,101.632095238095,138.953333333333,96.9640952380952,40.2862039333333,16.4956387532229,51.3239348,41.58985048
56815,2023,8,2.15342465753425,1,89,505.666666666667,16388.5238095238,478.266666666667,15380.6380952381,81.36,13.604,53.7066666666667,35.4663809523809,255.26,2686.89828571429,63.6936758666667,13.8575278578415,34.14186984,39.2875470857143
56816,2023,7,2.06301369863014,1,70,495.571428571429,17528.7252747253,478.714285714286,16617.1428571429,85.1928571428572,11.0868681318681,42.9428571428571,19.0918681318681,308.464285714286,1335.44554945055,69.2705897142857,13.4793845689365,31.03022872,36.9761718514286
56828,2023,11,2.35068493150685,1,175,514.0,37818.2857142857,427.133333333333,25274.1238095238,58.2333333333333,14.9238095238095,56.6066666666667,81.6920952380952,136.046666666667,107.875523809524,40.8755306,16.5589960098894,31.88298168,38.4717294742857
56830,2023,9,2.22191780821918,1,131,516.333333333333,21293.380952381,535.933333333333,26949.780952381,74.1466666666667,12.9026666666667,52.8266666666667,44.5092380952381,223.193333333333,639.042095238095,56.6328201333333,18.2315242082727,37.50752248,37.2982221714286
56833,2024,3,2.6986301369863,1,290,522.466666666667,918.409523809524,462.933333333333,193.92380952381,53.6466666666667,3.53409523809524,70.7466666666667,27.0612380952381,178.666666666667,2523.23095238095,37.5911385333333,3.92519642514668,29.85996136,37.5120584
56845,2024,2,2.61917808219178,1,270,518.466666666667,1978.69523809524,420.6,127.4,50.76,18.3654285714286,77.0333333333333,31.7952380952381,110.713333333333,2236.50980952381,36.8229523333333,17.8313299209512,14.38793824,23.4520023771429
56847,2023,10,2.30684931506849,1,153,556.933333333333,24681.0666666667,450.4,13149.8285714286,66.6666666666667,12.3095238095238,59.92,72.5831428571429,166.4,1007.52142857143,49.2929982666667,9.41607271720206,39.16313328,37.47123512
56860,2024,4,2.81917808219178,1,274,575.066666666667,21759.3523809524,474.933333333333,15063.4952380952,64.36,10.1982857142857,58.7466666666667,47.5155238095238,302.66,2736.69685714286,46.7056614666667,10.4878826774507,30.83972008,35.2356745485714
56861,2024,2,2.65205479452055,1,281,523.866666666667,16905.5523809524,422.466666666667,11902.8380952381,55.1533333333333,6.50552380952381,73.5533333333333,14.5169523809524,167.846666666667,2525.33980952381,39.8114624666667,5.08499187590426,46.4705004,45.78104056
56864,2024,3,2.66849315068493,1,272,528.266666666667,18833.2095238095,387.466666666667,10124.980952381,53.6333333333333,4.21809523809524,72.8733333333333,6.17209523809523,163.313333333333,1802.6440952381,37.9990516666667,4.49314229634508,37.56195352,39.4974953828571
56868,2023,11,2.37260273972603,1,162,489.0,33287.4285714286,459.8,29196.8857142857,55.8066666666667,13.2549523809524,62.62,113.957428571429,124.206666666667,902.514952380952,39.0316908666667,18.8321234409313,41.76675136,37.0591143885714
56887,2023,9,2.16986301369863,1,91,584.866666666667,22483.5523809524,530.0,17826.4285714286,76.1866666666667,8.65266666666667,50.66,37.2082857142857,250.24,1179.464,58.8404036666667,12.3094586862868,35.66593896,35.9180065142857
56899,2023,8,2.10684931506849,1,87,490.6,17749.6857142857,500.266666666667,20775.9238095238,82.28,11.1531428571429,48.8733333333333,11.3206666666667,283.486666666667,1053.21552380952,64.9582831333333,11.7177403775993,26.43987768,35.7326817828571
56901,2023,9,2.16438356164384,1,96,520.666666666667,22339.9523809524,429.6,14125.1142857143,76.1866666666667,8.65266666666667,50.66,37.2082857142857,250.24,1179.464,58.8404036666667,12.3094586862868,34.246196,38.4386820571429
56912,2023,10,2.26027397260274,1,59,536.133333333333,5962.26666666667,530.4,13669.4,68.76,24.8968571428572,53.7866666666667,30.7955238095238,185.613333333333,410.215523809524,51.0450118666667,25.6721229201047,46.37071016,47.4081398628571
56916,2023,10,2.27123287671233,1,111,534.466666666667,21595.6952380952,452.533333333333,14159.8380952381,68.86,20.1354285714286,54.7466666666667,22.9812380952381,184.173333333333,287.654952380952,51.0166286666667,21.0196377967477,44.66066832,34.2805393942857
56920,2023,12,2.44383561643836,1,214,503.066666666667,36546.0666666667,376.466666666667,19746.4095238095,49.5,32.8328571428571,70.4133333333333,86.4769523809524,81.6866666666667,941.538380952381,33.9053117333333,62.1724826541068,41.730464,32.7512863657143
56924,2024,7,2.97808219178082,1,288,471.4,14717.5428571429,465.866666666667,14566.980952381,85.06,11.9668571428571,36.1933333333333,20.7449523809524,356.92,644.988857142857,71.5132147333333,15.3175477153519,29.42904896,36.9146129371429
